0	score	hospital
ขออนุญาตประกาศหาผู้ช่วยผู้ใจบุญพยาบาลกายภาพบำบัดส่วนตัวนอกสถานที่ มาทำที่บ้าน จะมาเช้าเย็นกลับก็ได้มีค่าพิเศษให้ รึถ้าอยู่ไกลจะมาพักที่บ้านกินอยู่ได้ค่ะ ใครที่รู้จักพยาบาลผู้ช่วย กรุณาติดต่อได้ที่ ️0909876767 แอ๊นค่ะ ️0852108156 แม่ค่ะ คุณแม่เดินไม่ได้เส้นยึดหลายที่หลังจากผ่าตัดหน้าขา ซึ่งมะเร็งลามไปหลายที่ หากใครรู้จักผู้ใจบุญ ขออณุญาติช่วยเหลือทีค่ะ ด่วนเลยนะค่ะ รบกวนทีค่ะ คุณแม่สู้มาก แต่ไม่รู้จะประกาศตามหาที่ไหน ขอบคุณมากๆนะค่ะ ช่วยแชร์ด้วยนะค่ะ	5	Rama
รพ. เค้าดูทันสมัยดีจิงๆ พยาบาลก็พูดจาดี บริการแป๊ะเวอร์	5	Rama
เมื่อวานไปรพ.รามาถึงจะคอยนานสักนิดแต่คุ้มค่ากับการที่ได้รักษา กับคุณหมอผู้มีเมตตาใจดี ถึงคนไข้จะมากแต่คุณหมอก้อยังยิ้มแย้ม สุภาพ คุณหมอจะไหว้คนไข้ก่อนทุกครั้ง ท่านเป็นคุณหมอที่มีจิตใจ งามมีเมตตากับคนไข้ทุกระดับ สมแล้วที่ท่านเป็นคุณหมอรักษาโรค หัวใจท่านชื่อ คุณหมอ ธัชพงศ์ งามอุโฆษ ตึกพระเทพฯ ได้รับการรักษา โรคหัวใจเต้นผิดจังหวะและจี้มาแล้ว ท่านเก่งมาก ขอให้ท่านเจริญๆเถิด ขอชี่นชมท่านพร้อมกับคนไข้อีกหลายคนที่รักษากับท่าน	5	Rama
ผมว่าบุคคลากรของทางรพทำหน้าที่ของเขาอย่างเต็มที่นะครับผมไม่ทราบว่าคนอื่นจะคิดอย่างไรแต่ผมยอมรับนะครับผมไม่ค่อยเข้ารพบาลของรัฐสักเท่าไหร่แต่มาเจอที่นี่ผมอยากเข้าใช้บริการครับ	5	Rama
บริการเหี้ยมาก เรื่องมาก ปัดความรับผิดชอบ	1	Rama
พยาบาล บางคน บางคนนะครับ บริการแย่มาก เห็นผู้ป่วยมายืนรอหน้าการลงทะเบียนของคลินิค(วัยรุ่น) แทนที่จะถามว่าต้องการทำไรคะ กลับคุยกัน พอคุยเสร็จก็เงียบ แล้วก็คว้าโทรสัพท์มาคุยต่อ ยังดีครับมีพยาบาลอีก คนถามผมแทนแต่พยายาลคนนั้นไม่ได้อยู่ข้างหน้าฝ่ายลงทะเบียน	3	Rama
ขอร้องเรียน. คุณหมอ พญ อาจารย์หมอพิมใจ นิภาลักษ์ ในการรักษา ผู้ป่วยซึ่งเป็นหมอประจำคนไข้ของ นางสาว รัตนชนก ไชยศร อาการเกล็ดเลือดต่ำ มีที่ไหนการรักษา ตั้งแต่เข้ารับการรักษามา ไม่เคยตอบไม่เคยอธิบายจั้นตอนการรักษาให้คนป่วยทราบเลย. ตอบอย่างเดียวคือ ให้รักษายังไงก็รักษาไปเถอะ คนไข้ยิ่งเยอะๆ อย่ามาถามอะไรมากได้ไหม	1	Rama
รับรักษาทุกคนบริการประทับใจ ประชาสัมพันธ์ยิ้มแย้มแนะนำทาง สถานที่สะอาดมั่นคงบุคคลากรมั่นใจ	4	Rama
อาจารย์หมอเก่งและเอาใจใส่ดี พยาบาลก็สวยและนิสัยดี อาหารก็อร่อย	5	Rama
ผมเป็นคนลาวมารักษาพยาบาลดีมาก.พูดจาดี.ขอไห้เมียหายด้วยเถีดๆๆ	5	Rama
น้องท่ีอยู่หน้าห้องตรวจเวชศาสตร์ครอบครัวน่ารักมากแม้ไม่หล่อแต่ชี้แจงดีมากตั้งแต่. 6. โมงเช้า อธิบาย ตลอดเวลา น่ารักอ่ะ	3	Rama
ตอนนี้รพ.รามากำลังปรับปรุงเยอะเจ้าหน้าที่ก้อเต็มที่นึ ยิ่งเจ้าหน้าที่รถเข็นแล้วต้องขอบคุณมากๆเลยเพราะเราเข็นไปไม่ถูกเลย ตรงนั้นปิดตรงนี้เปิด เข็นไปอธิยายไป	5	Rama
เป็นการมาครั้งแรกค่ะ มารับยาให้ญาติที่อยุ่ต่างจังหวัด มาติดต่อตั้งแต่บ่ายโมงตรง ตอนนี้ยังคงนั่งรออยุ่ค่ะ ยังไม่ได้ไปรอที่โซนจ่ายยาเลย ตอนนี้ผ่านไป2ชั่วโมงครึ่งแล้วค่ะ ยังไม่มีการเรียกหรืออะไรเลยค่ะ เป็นการมาครั้งแรกและไม่ประทับใจมากๆค่ะ ไม่ทราบว่าเป็นการเข้าใจผิดหรือเปล่า อาจเพราะที่นี่คนเยอะอาจจะช้าเป็นปกติ แต่ไม่เคยไป รพ. ไหนช้าขนาดนี้ค่ะเลยเกิดการเปรียบเทียบ ขอบคุณสำหรับพื้นที่แสดงความเห็นค่ะ	1	Rama
พนักงานที่ตึกใหม่ห้องบัตรวันที่8-02-59ไปโรงพยาบาลพนักงานทำเกี่ยวกับรับลองสิทธิ์เคาเตอร์2พูดจาหมาไม่แดกพูดจาไม่มีการศึกษาสวนมากมีแต่คนพูดไม่ดีถามอะไรไม่อยากจะตอบรวมถึงพยาบาลกูพูดไม่ดีเถื่อนทำเหมือนเราไม่ใช่คนเราเคยไปครั้งแรกไม่รู้เรื่องจะถามอะไรบ้างก็พูดไม่ดี	1	Rama
มีพ่อป่วยหนักปอดติดเชื้ออยู่ซีซียูเจ้าพยายมราชอยากมารักษาที่รามาต้องทำยังไร	5	Rama
ขอบพระคุณคุณหมอ พยาบาล และเจ้าหน้าที่ทุกท่านที่บริการอย่างดีค่ะ	5	Rama
ถ้าจะรอยานานขนาดนี้ ส่งไปรษณีย์ไปที่ย้านก็ได้ค่ะ!!!	1	Rama
คุณหมอและพยาบาลดูแลผู้ป่วยเป็นอย่างดีอีกทั้งอัธยาศัยดีพูดจาดีไพเราะทุกท่านเลยค่ะขอบคุณที่ดูแลลูกสาวเป็นอย่างดีขอบคุณจริงๆ	5	Rama
หมอและพยาบาล มีจิตใจที่เสียสละ..ให้การรักษาคนไข้อย่างสุดความสามารถ และการจัดระบบที่นี่ดีมากค่ะ	4	Rama
"ดิฉันไม่เคยลืมว่าโรงพยาบาลรามาแห่งนี้ได้ช่วยชีวิตดิฉันไว้คือดิฉันป่วยประมาณพ.ศ2548ป่วยหนักทางด้านสมองและดิฉันได้รับการรักษาเป็นอย่างดีทุกอย่างด้วยคณะแพทย์ที่เอาใจใส่คนไข้อย่างดีจนถึงทุกวันนี้ดิฉันมีร่างกายแข็งแรงสมบูรณ์ดีทุกอย่าง,,ดิฉันขอขอบพระคุณคณะแพทย์ทุกท่านมาณที่นี่ด้วยนะค่ะและสิ่งศักดิ์ที่คุ้มครองที่นี่แห่งนี้ได้ช่วยชีวิตผู้หญิงอย่างดิฉันไว้ถ้าดิฉันมีโอกาสที่พอจาช่วยเหลือทางไดทางหนึ่งของ""""โรงพยาบาลรามาธิบดี""""ดิฉันยินดีช่วยนะค่ะ"	5	Rama
สถาบันสร้างแพทย์ที่สำคัญของประเทศหนึ่งในสามสถาบัน รามาธิบดี จุฬาฯ และศิริราช.	5	Rama
ชอบความสะอาด	3	Rama
เป็นรพ.ของรัฐที่มาตรฐานการรักษาและการบริการที่ดี ถึงแม้คนไข้ที่มาใช้บริการจะมาก แต่ก็ไม่รู้ว่ารอคิวนานเหมือนกับรพ.รัฐรพ.อื่นๆ ซึ่งรอนานมากกว่าจะตรวจ ทั้งแพทย์ พยาบาล และบุคลากรในรพ.ให้การช่วยเหลือเป็น	5	Rama
อยากทราบเบอร์โทรติดต่อของโรงพยาบาลค่ะมีใครพอจะรู้บ้างค่ะ	4	Rama
เป็นโรงพยาบาลที่ห่วยแตก ระบบการทำงานแย่	1	Rama
ผมเป็นญาติคนไข้มาจากต่างจังหวัดในกรณีผ่าตัดต้องอยู่หลายวันก็ต้องประสบปัญหาทีหลับที่นอน รพ.ใหญ่โตแต่ไม่มีที่ให้ญาติได้นอน มีที่เดียวคือหลังตึกฉุกเฉิน มีเก้าอี้ยาว20ตัวตรงกลางเป็นทางเดินทั้งคนเดินทั้งเตียงเข็นคนไข้ผ่านไปผ่านมาทั้งคืนคนมาใหม่ไม่มีอุปกรณ์อะไรก็ต้องนอนกับพื้นทางเดินดูแล้วทุเรศลูกตามาก ผมลองสอบถามเจ้าหน้าที่ดูว่าน่าจะมีที่นอนให้กับญาติที่ดีกว่านี้อีกซักหน่อยเนอะ..เขาบอกว่าเคยเสนอเรื่องขึ้นไปเเล้วแต่ก็เงียบหายไป. ทำไมครับแค่คุณทำห้องๆหนึ่งให้ญาติผู้ป่วยพักในเวลากลางคืนจะทำให้ รพ.คุณเสียค่าใช้จ่ายซกเท่าไหร่เชียวครับ...ทั้งๆที่คุณเองได้จากญาติคนไข้บ้างรายเป็นแสนๆเป็นล้านก็มี *ถ้าเห็นข้อความนี้โปรดนำไปพิจรณา* เรื่องนี้ญาติคนไข้เดือดร้อนมาก	2	Rama
วันนี้ไปที่เวชศาสตร์ครอบครัว ครับ เป็นคนไข้ใหม่ ไม่ทันคิวตรวจ ห้องสัมภาษณ์ จนท.ไม่สนใจถามอาการป่วย เลย บอกให้มาใหม่ๆๆๆๆ ไม่ง้อว่าจะมาตรวจ หรือไม่มา. ครับ	5	Rama
รักษาลูกชายมาตั้งแต่1ขวบจนจะ9ขวบแล้ว คุณหมอพยาบาลน่ารักทุกคน แต่ก็มีบ้างคุณหมอที่วุฒิภาวะยังต่ำอยู่มาก การพูดจา การปฏิบัติต่อผู้ป่วยและญาติผู้ป่วยค่อนข้างจะไม่นุ่มนวลอยู่บ้าง อาจจะเพราะยังเด็กควบคุมอารมณ์ได้ไม่ดี และยังไม่เคยมีลูก จึงไม่ค่อยเข้าใจคนมีลูกป่วย เมื่อวันหนึ่งคุณหมอมีลูกเป็นของตัวเองซึ่งเกิดจากตัวเอง วันนั้นคุณหมอจะเข้าใจข้าพเจ้าในวันนี้ แต่ภาพรวมๆแล้ว เป็น รพ.ที่ดีที่สุดสำหรับข้าพเจ้า เจตนาของคุณหมอและพยาบาลมีความตั้งใจดูแลรักษาคนป่วยสุดกำลัง ซึ่งข้าพเจ้าก็มองเห็นความตั้งใจนั้นเสมอมาตลอดระยะเวลาที่รักษามา 8ปีกว่าค่ะ ยังคงมั่นใจที่จะรักษาที่นี่ต่อ และขอชื่นชม ขอบคุณบุคลากรทุกท่านของ รพ.แห่งนี้ค่ะ รัก รพ.รามาธิบดีมากค่ะ	5	Rama
ดิฉันต้องการติดต่อฝ่ายเบิกจ่ายตรง ซึ่งเบอร์ที่ได้มาเป็นการคลัง เมื่อโทรไปผู้หญิงรับแล้วก่อนที่จะต่อสายให้ พูดแทรกในโทรศัพท์ #น่าเบื่อว่ะ. พูดมาได้ยังไง คุณพูดกับใคร หรือบ่นเองดิฉันไม่รู้ แต่เป็นสิ่งที่ไม่ควรทำในอาชีพบริการนะคะ โทรมาหาดิฉันได้ค่ะ080-611-0369 ไม่ประทับตั้งแต่ครั้งแรก	1	Rama
คุณแม่ผมหาหมอทานยาเป็นปี แค่ประคองอาการ เพียงแค่เปิดใจกับ อาหารเสริม นี่คือผลที่ได้รับ	5	Rama
คุณหมอและพยาบาลดูแลคนไข้ได้ดีมากๆ โดยเฉพาะแผนกสูตินรีเวช รู้สึกประทับใจเป็นอย่างมาก	5	Rama
ชอบค่ะ ตึกใหม่เหมือนแผนกเด็ก รพ.เอกชนเลยค่ะ ค่ารักษาสูงกว่าปกติ พอรับมือไหว ดีตรงที่มาวันอาทิตย์ได้และได้พบ อาจารย์หมอด้วย รักษาลูกได้ตรงจุดไม่ต้องหาสามาเหตุนาน	5	Rama
หมอให้คำแนะนำดี ราคาสูงกว่าปกติเพราะคลินิคพรีเมี่ยม แต่ได้พบอาจารย์หมอ ลูกเราจะได้รักษาตรงจุด ชอบรพ.นี้มากค่ะ	5	Rama
"หน่วยรับเอกสารเจาะเลือดวันนี้ ประมาณ 6.45น. ผมเห็นคุณป้าคนหนึ่งยื่นเอกสารให้เธอ เธอกับชูเอกสารที่อยู่ในมือให้คุณป้าดูแล้วทำท่าเอียงคอ(ความหมายของเธอคือฉันยังทำเอกสารคนอื่นยังไม่เสร็จ)ซึ่งจริงๆแล้วใช้คำพูดว่า""สักครู่น๊ะค๊ะ""ผมว่าจะดูดีกว่ามากเลยครับ อ้อเธอใส่แว่นนั่งคนที่สองจากซ้ายครับ แต่ก็อดชื่นชมเจ้าหน้าที่ผู้ชายที่คอยจัดคิวอยู่ที่แผนกผู้ป่วยนอกเวชศาสตร์ครอบครัวและหน้าห้องเจาะเลือด น่ารักทั้งสองคนครับ สุภาพ พูดจาไพเราะครับ ขอบคุณรามา ที่มอบสิ่งดีๆให้กับชาวบ้านครับ"	4	Rama
ขอแมสปิดปากเะราะเฝ้าคนไข้วัณโรค พยาบาลถามว่าให้ใคร บอกญาติ พยาบาลบอกว่าเซเว่นมีขาย ... นี่หรือ รพ.รัฐ ที่ขอเงินบริจาคเพื่อคนจน.. นิสัยแบบนี้ไม่น่าจะเป็นพยาบาลเลยนะ..	1	Rama
ทั่งหมอทั่งพยาบาลบริการดีมากๆเหมือนไปโรงพยาบาลเอกชนเลยพยาบาลทุกคนเป็นกันเองยิ้มแย้มหากไม่เอ่ยชื่อโรงพยาบาลคงคิดว่าเป็นเอกชนแน่นอน ขอบคุณ ขอบคุณจริงๆ	5	Rama
แพทย์และพยาบาลที่นี่น่ารักทุกคนเลยค่ะ อาคาร 1 สูตินารีเวช ห้องคลอดชั้น 4 และห้องพักฟื้นชั้น 6 ขอบคุณมากๆค่ะ	4	Rama
ที่ให้ดาวเพราะชอบการรัษาของที่นี่มาก แต่พยาบาลที่นี่พูดกับคนไข้ไม่ดีเลย ใช้คำพูดสุภาพนะ แต่น้ำเสียงนี่แย่สุดๆ เข้าใจว่าคนไข้เยอะแต่ทำงานพยาบาลอ่ะ ก็ต้องมีจรรยาบรรณบ้างสิ นี่ทำอย่างกับจะกินคนไข้ (ตึกพระเทพพยาบาลที่อยู่ตรงเข้าแถวที่เจาะเลือดชั้น1 กับที่วัดความดันชั้น2อ่ะอารมณ์เสียสุดๆเลย) พยาบาลที่ดีๆก็มีเยอะนะ แต่คนที่ไม่ดีที่เป็นส่วนน้อยทำให้ที่รพ.ดูแย่ลงเลยในสายตาเรา	4	Rama
หมอ,พยาบาลดีมากครับ,แต่การเงินเหมาสมแล้วที่ทำหน้าที่นี้ ชีวิตนี้จริงของคุณๆน่าจะมีความสุขความเจริญกันขอให้พวกคุณที่ทำการเงินเจริญๆยิ่งๆขึ้นๆไป	4	Rama
พยาบาลแผนก หู คอ จมูก คนที่น่ากลมๆซีดๆตาโตหน่อย อยู่ห้องนัดผ่ากะข้างหน้าประตู พูดจาแย่มากๆ บริการก็แย่ เรานั่งรอคิวสังเกตดู พูดจากับคนไข้ที่รอแย่มากๆ คือเรา ไม่รุ้ว่าต้องไปจ่ายเงินตั้งไหน เราก่เอาใบไปวางไว้ใส่ตะกร้าตรงพยาบาล(คนนั้น )เรารอนาน เราเลยถาม ขอโทษนะค่ะ พอดีเอาใบจ่ายเงินไว้ค่ะ ไม่ทราบว่าจ่ายตรงไหนค่ะ พยาบาล ตอบกลับมาว่า เอามาวางไว้ทำไมตรงนี้ ตรงนี้ไม่ใช่ที่วาง ที่จ่ายตังอยู่ข้างนอก เราก็งงสิ ถามดีๆ ตอบกวน....มาก บริการแย่ พูดจาก่ห่วยแตก ทุกอย่างดีหมด ยกเลิก นางคนนี้	3	Rama
แต่มีติดใจนิดหนึ่งแม่ค้าโรงอาหารทำไมดุจัง เราจะซื้อข้าวแดกนะไม่ได้ขอ ดุจังๆๆๆๆๆ	4	Rama
ตรวจสุขภาพไปต่างประเทศเอธิโอเปียไม่ค่ะแล้วกีวันรู้ผลราคาเท่าไร	3	Rama
วันนี้มาหาหมอ พบหมอ2คนค่ะ แต่โซนbวันนี้พยาบาลที่นั่งเคาน์เตอร์ข้างหน้าคือเราเอาแฟ้มไปวาง แค่ถามใบสั่งยาเพราะหาไม่เจอพอเข้าไปถาม พยาบาลก็หยิบให้ เพราะหมอแนบมาด้านหลัง ยื่นใบสังยาให้เรา แล้วเหวี่ยงแฟ้มใส่ตระกร้า คืออะไร ไม่มีมารยาทเลย บริการแย่มากขอบอกเลย คือคิดถ้าเปนลุงป้าแก่ๆ ถ้าอีนี่เหวี่ยงแฟ้มคนไข้ใส่ตระกร้าแบบนี้ คือมึงไม่น่ามาเปนพยาบาลเลยจริงๆ (คนที่นั่งหน้าเคาเตอร์ตัวอ้วนๆผิวคลำ ปากจัดหน่อย)	2	Rama
เหลืออีกสองวันจะออกจาก รพ รามาแล้ว ประทับใจมากๆตั้งแต่วันแรกที่แอดมิดเข้ามา ตั้งแต่14ธค58 ผมอยุ่แผนกตา สามัญชายคือพยาบาลทุกคนพูดดีมากๆ เป็นกันเอง ไม่ทำให้คนไข้เครียด คุณหมอก็ขึ้นตรวจทุกเช้า ซักประวัติจนละเอียด แล้วรักษาได้ดีมากๆ ขอบคุณคุณหมอและพี่ๆพยาบาลทุกคนที่ทำให้ผมกลับมามองเห็นได้อีกครั้งนึง ขอบคุณสำหรับทุกสิ่งทุกอย่างคับ 16วัน รพ.รามา เป็นอะไรที่ยากจะลืมจิงๆ #ประทับใจมาก	5	Rama
ดีครับ ดีมากๆ ดีสุดดดดดดด	5	Rama
เป่นร.พรักษาตัวอยู่ปัจจุบันนี้ให้บริการดีเหมื่อนกันนะ	5	Rama
เป็นโรงพยาบาลที่ทันสมัย มากขอบคุณอาจารย์หมอ ธาริน ธรรมหงสา ที่ผ่าตัดนิ่วใหถุงน้ำดีสำเร็จลุล่วงไปด้วยดี ขอบคุณพยาบาลและเจ้าหน้าที่ในตึกอุบัติเหตุให้การดูแลเอาใจใส่คนไข้เป็นอย่างดี	5	Rama
ผมได้พักรักษาตัวโรคตาประมาณเดือนเศษเมื่อหลายปีมาแล้วได้รับการผ่าตัดดวงตา5 ครั้งได้รับการเอาใจใส่จากคณะแพทย์และคณะพยาบาลเป็นอย่างดี ขอขอบคุณจากใจครับ	5	Rama
ปรับปรุงเรื่องการพูดจาด้วยนะ. แย่มากก พยาบาลหญิง. พูดจาหมาไม่แดก.	1	Rama
บริการดีมาก มาจากต่างจังหวัดรู้สึกหายเหนื่อย	5	Rama
หน่วยงานอื่นก็ดีนะครับเพราะต้องติดต่อหลายส่วนแต่ที่ต้องจอแนะนะคือหน่วยงานที่ตรวจเต้านม รับการรักษาคลีนิกนอกเวลามาวางบัตรสิบโมงเจ้าหน้าที่บอกมาได้15.00น. รีบมาตั้งแต่บ่ายสองมาถึงเจ้าหน้าที่บอกรอเรียกบ่ายสามเลยไปหาไรกินก่อนบ่ายสาม15นาทีก็มานั่งคอยเรียกตามที่เจ้าหน้าที่บอกเห็นว่ายังไม่ถึงเวลาเลยนั่งคอยจนสามครึ่ง็ยังไม่เรียกทนไม่ไหวเดินไปถามเจ้าหน้าที่บอกเรียกแล้วเอกสารอยู่ตรงหน้าบ่ายสามทำไมไม่เรียกซ้ำคนที่ยึดถือเวลาก็มีนะครับ	3	Rama
ฉันชอบโรงพยาบาลแต่ไม่ชอบการให้บริการในการเรียกตรวจเพราะไม่เป็นไปตามคิวที่ระบุในใบนัด	5	Rama
รักษาที่นี่มานับ 30 กว่าปี คนเยอะมาก ทบุคลากรทุกส่วนเหนื่อยน่าดู	4	Rama
จำต้องทนเพื่อผลของการรักษาไม่รุ้อีกนานเท่ารั่ยที่ต้องยุ่กับ ร.พ. รามาธิบดี	3	Rama
รักษาเรืองสมองใหม่คับ. หลานผมเลือดครั่งนิดหน่อย/	5	Rama
บริการดี รวดเร็ว ไม่เสียเวลารอนาน	5	Rama
นัดบ่ายโมงบ่าย2ยังไม่ได้เข้าเลย แผนกทันตกรรมตึกเก่า	1	Rama
วันนี้มารามาเห็นการรักษาความปลอดภัยสุดยอดมาก	5	Rama
ฝากชีวิตไว้ที่นี่ค่ะ	5	Rama
ฉันรักที่นี่ กราบขอบพระคุณคณะแพทย์และพยาบาลทุกท่านที่ได้ช่วยเหลือและดูแลชีวิตคนในครอบครัวดิฉันเป็นอย่างดี แต่มาเสียความรุ้สึกกับแพทย์หญิงปารวี พูดกับคนไข้และพยาบาลแย่มากๆ เสียดายที่มีไอคิวสูง แต่อีคิวต่ำมากๆ	4	Rama
มาตรวจที่แผนกเวชศาสตร์ครอบครัววันที่ 25 ธันวาคม 2558 ให้บริการและแนะนำผู้ป่วยดีมาก มีตรวจตอนเที่ยงด้วย	5	Rama
โรงพยาบาลรัฐบาลที่ดีที่สุดในประเทศไทย ยืนยันโดย Ward จิตเวช ครับ	5	Rama
ฝากหน่อยคะสำหรับใครที่ต้องการอุปกรณ์ทางการแพทย์ทางเรามีขายราคาถูกมีบริการส่งถึงบ้าน ของแท้มีประกันไม่ดีมีเปลี่ยนให้จากบริษัท ทักได้คะหรือ ID: pinpmm27	5	Rama
ดีครับรพ.ต่างจังหวัดแย่มากๆลูกสาวป่วยแต่อายุ9ขวบตอนนี้22แล้วไปกลับทุกๆ3เดือน	5	Rama
พยาบาลและหมอทุกคนเอาใจใส่ดีมาก สถานที่สะอาด สะดวก เรียบร้อย	5	Rama
คิวช้า หมอนัด 15.30 แต่ได้ตรวจ 16.30 ทั้งๆที่ไปรอตั้งแต่ 14.00	3	Rama
ปกติแล้วเป็นคนที่กลัวการผ่าตัดมากๆ คิดไปต่างๆนานา แต่เมื่อถึงเวลาที่เราต้องเข้าห้องผ่าเจ้าหน้าที่มารับมาพูดคุยพาไปห้องผ่าตัด พูดคุยถึงการรักษาถามคนไข้กลัวไหม ไม่ต้องกลัวนะคะ พูดให้กำลังใจ จับมืออยู่ข้างกาย รอบให้รับรู้ตลอดเวลาจองการผ่าตัด ถึงขั้นตอนไหนๆ แล้ว ประทับใจการบริการโรงพยาบาลของรัฐค่ะ	5	Rama
ฝากครรภ์ที่ รพ.รามาฯ   แพทย์และพยาบาล พูดเพราะ และใจดีมากค่ะ	5	Rama
พาย่าไปรักษาที่ ER รพ.รามาธบดีค่ะ แพทย์จะฉีดสี แต่คนไข้ 80 แล้ว เราเลยไม่อยากให้ทำ แต่คนไข้ยังคงต้องรับการรักษาโดยให้ยาฆ่าเชื้ออยู่ นักศึกษาแพทย์พูดว่าในเมื่อคนไข้ไม่รักษาเราก็ไม่จำเป็นต้องรักษา	1	Rama
บริการดี	4	Rama
มีการจัดการระบบในการรักษาคนไข้ดี  รอไม่ค่อยนานเหมือนสมัยก่อนแล้ว หมอก็เก่งคะ	5	Rama
เมื่อหลายปีก่อนเคยพา อาม่า ไปทำการรักษาดวงตา ที่แผนกตา ของโรงพยาบาลรามาธิบดี การบริการของแพทย์และพยาบาล ก็ถือว่าปานกลาง ไม่ได้ดีหรือไม่ดีอย่างไร แต่บริการของพนักงานการเงินที่แผนกตา มารยาททรามมากถึงมากที่สุด เหตุคือ.....ช่วงนั้นใกล้เที่ยง และเจ้าหน้าที่จะทำการปิดช่อง ซึ่งเราก็ไม่ได้ว่าอะไร รอช่วงบ่ายได้ ไม่รีบร้อน แต่เราได้ถามเจ้าหน้าที่คนนั้นก่อนแล้ว ว่ารอคิวได้มั้ย หรือต้องรอช่วงบ่าย จะได้พาอาม่าไปทานข้าวก่อน เจ้าหน้าที่ก็แจ้งว่า กดคิวเลย เราก็กด แล้วก็ยื่นเอกสารใบยา แล้วเค้าก็ให้มานั่งรอ เราก็รอตั้งนาน จนเจ้าหน้าที่เค้าปิดช่อง เราเลยลุกไปถามว่า อ้าว เมื่อไรจะเรียกคิวคะ เพราะไม่มีคิวอะไรเลย มีเรานั่งรอกับอาม่าอยู่ 2 คน เค้าก็ทำหน้าไม่รู้เรื่อง บอกว่า ไม่มีคิวนะ คุณยังไม่ได้กดคิว เราก็ยื่นบัตรกดคิวให้ดู แล้วบอกว่า ยื่นเอกสารใบยาให้คุณแล้วด้วย ชื่อคนไข้....................เค้าก็หาๆ แบบคุ้ยๆ เขี่ยๆ เลยอะ หาอยู่ยังงั้น จนไปจบที่ ถังขยะค่ะ เน้นย้ำว่า ถังขยะ แบบยับๆ ด้วยนะ เรานี่ หัวร้อนเลยค่ะ การบริการแย่มาก นับแต่นั้น ไม่เคยคิดเหยียบโรงพยาบาลนี้อีกเลย ต่อให้ชื่อเสียงของหมอดียังไงก็เถอะ การบริการของเจ้าหน้าที่แย่มาก มารยาททรามได้อีก	1	Rama
ไม่รอนาน คุณหมอ พยาบาลใส่ใจ ผู้ป่วย	5	Rama
หมอทุกท่านรักษาดีมาก มีความเป็นกันเอง เวลาไปรักษาทีไรไม่เครียดเลย	5	Rama
วันนั้นป้าของฉันโรคไม่สบายหนักมาก เรียกรถพยาบาลมารับที่บ้าน พอมาถึงคุณหทอพยาบาลก็ช่วยกันดูแลเป็นอย่างดี หมอบอกอาการหนักมากร่างกาย 50 50 เพราะป้าของฉันมีโรคประจำตัวเยอะ ต้องใส่เครื่องช่วยหายใจ จนหมอต้องพูดว่าคนไข้อาจไม่รอด แต่ก็ทำให้รู้ว่า ถึงเปอร์เซ็นการรอดคนไข้จะน้อย แต่คุณหมอและพยาบาลก็ดูแลป้าของฉันเป็นอย่างดี อาการป้าของฉันดีขึ้นเรื่อยๆ จนตอนนี้กลับบ้านได้แล้ว	5	Rama
บริการช้า คนเยอะ หมอน้อย	4	Rama
เข้าไปใช้บริการคลินิกพรีเมียม ศูนย์การแพทย์สมเด็จพระเทพรัตน์ฯ บริการดี เจ้าหน้าที่ยิ้มแย้ม ทุกอย่างสะดวกรวดเร็ว คิวน้อย จะมีนานก็ตอนรอพบแพทย์ รอสองชั่วโมงเพื่อพบแพทย์สามนาที การจ่ายเงินสะดวกรวดเร็ว ผลตรวจออกรวดเร็วดี ที่จอดรถน้อย สถานที่สวยงามมีทั้งธนาคาร 7-11 ศูนย์อาหารที่ราคาไม่แพงเลยแทบไม่เคยมีโต๊ะว่างไม่ว่าเวลาไหน มีร้านภูฟ้า สตาร์บัค ฯลฯ ช่วยให้การรอไม่น่าเบื่อเกินไป คุณหมอตรวจด้วยความใส่ใจอธิบายชัดเจน ค่าบริการแพงไปนิดแต่โดยรวมๆถือว่าพอรับได้	4	Rama
เป็นสถานพยาบาลของรัฐที่ยกระดับการให้บริการที่ทันสมัย และดี appicationในการตรวจสอบนัดกับทางโรงพยาบาลเป็นอะไรที่ดีมาก	5	Rama
สะอาด แพทย์และพยาบาลทุกคน เป็นกันเอง บริการดีเยี่ยม เครื่องมือทันสมัย	5	Rama
พยาบาลดูเเลเอาใจใส่คนไข้ ทั้งที่เป็นโรงพยาบาลรัฐบาล	5	Rama
ด้วยขื่อเสียงที่มีมายาวนาน และมีคนใกล้ชิดเข้ารับการรักษา และดิฉันก็เป็นหนึ่งในผู้บริจาคให้มูลนิธิรามาธิบดีมาอย่างยาวนาน แต่พอคุณพ่อเข้ารับการรักษาในห้องอุบัติเหตุและฉุกเฉิน ไม่ได้รับการดูแลอย่างที่ควร ผนวกกับไม่มีห้อง เจ้าหน้าที่ โดยเฉพาะพยาบาลและเจ้ากน้าที่พูดจาไม่ดีเลย สุดท้ายต้องย้ายโรงพยาบาลค่ะ	2	Rama
โรงพยาบาลรามาธิบดี.เป็นโรงพยาบาบที่ดีมีบุคลากรคุณภาพมากมาย. เครื่องมือก็ครบครันและทันสมัย สร้างความอุ่นใจเเละมั่นใจให้แก่ผู้ใช้บริการเป็นอย่างมาก	5	Rama
